journal,,editor_in_chief,author,title,year,issue,english_author,original title,first published year,genre,additional comments,decade,general_secretary
IL,,,Фантастические рассказы,чекнуть номер,1962,3,,,,,,1960s,Khrushchev
IL,,,Фаст Говард,История Лолы Грегг,1956,11,Howard Fast,The Story of Lola Gregg,1956,,,1950s,Khrushchev
IL,,,Фаст Говард,Христос в Куэрнаваке,1955,5,Howard Fast,Christ in Cuernavaca,1955,,,1950s,Khrushchev
IL,,,Фейфер Джулиус,Убийство в Белом доме: Пьеса в 2-х д.,1970,11,Jules Feiffer,The White hHouse Murder Case,1970,,,1970s,Brezhnev
IL,,,Фицджеральд Френсис Скотт,Как финансировали Финнегана,1980,2,F. Scott Fitzgerald,Financing Finnegan,1938,,,1980s,Brezhnev
IL,,,Фицджеральд Френсис Скотт,Опять Вавилон,1976,7,F. Scott Fitzgerald,Babylon Revisited,1931,,,1970s,Brezhnev
IL,,,Фицджеральд Френсис Скотт,Последний магнат: Роман,1977,"1, 2",F. Scott Fitzgerald,The Last Tycoon,1941,,,1970s,Brezhnev
IL,,,Фицджеральд Френсис Скотт,Рассказы о Голливуде: «Вскипятите воды и побольше»,1978,7,F. Scott Fitzgerald,Boil Some Water - Lots of It,1940,,,1970s,Brezhnev
IL,,,Фицджеральд Френсис Скотт,По следу Пата Хобби,1978,7,F. Scott Fitzgerald,On the Trail of Pat Hobby,1941,,,1970s,Brezhnev
IL,,,Фицджеральд Френсис Скотт,Пат Хобби играет роль,1978,7,F. Scott Fitzgerald,Pat Hobby Does His Bit,1940,,,1970s,Brezhnev
IL,,,Фолкнер Уильям,Дым,1957,12,William Faulkner,Smoke,,,,1950s,Khrushchev
IL,,,Фолкнер Уильям,Когда я умирала: Повесть,1990,8,William Faulkner,As I lay dying,1930,,,1990s,Gorbachev
IL,,,Фолкнер Уильям,Осквернитель праха: Роман,1968,"1, 2",William Faulkner,Intruder in the Dust,,,,1960s,Brezhnev
IL,,,Фолкнер Уильям,Особняк: Роман,1961,12-Sep,William Faulkner,The Mansion,,,,1960s,Khrushchev
IL,,,Фолкнер Уильям,Победа,1956,1,William Faulkner,Victory,,,,1950s,Khrushchev
IL,,,Фолкнер Уильям,Поджигатель,1958,8,William Faulkner,Barn Burning,,,,1950s,Khrushchev
IL,,,Фолкнер Уильям,Шум и ярость: Роман,1973,"1, 2",William Faulkner,The Sound and the Fury,,,,1970s,Brezhnev
IL,,,Фостер Алан Дин, На суд зрителей: Рассказ,1987,7,Alan Dean Foster,What do the Simple Folk Do?,,,,1980s,Gorbachev
IL,,,Фэллоу Л. М.,Собиратели пуговиц,1981,1,L. M. Fallaw,The Ugglian,1956,,,1980s,Brezhnev
IL,,,Хаджинс Барбара,Курс психологии для библиотечных работников,1977,7,,,,,,1970s,Brezhnev
IL,,,Халберстэм Дэвид,Один очень жаркий день: (Роман,1969,6,David Halberstam,One Very Hot Day,1967,,,1960s,Brezhnev
IL,,,Хаммер Арманд,Хаммер: Главы из книги. (При участии Нейла Линдона),1988,"2, 3",Armand Hammer,Hammer,1988,,,1980s,Gorbachev
IL,,,Хейли Артур,Аэропорт: Роман,1971,10-Aug,Arthur Hailey,Airport,1968,,,1970s,Brezhnev
